Film,Award,Year of Release,IMDB Rating,Tomatometer Rating,Audience Rating,Meta Critic,Meta User
Pulp Fiction,Nominee,1994,89,92,96,94,91
Quiz Show,Nominee,1994,75,96,87,88,85
The Shawshank Redemption,Nominee,1994,93,91,98,80,89
Braveheart,Winner,1995,83,78,85,68,87
Apollo 13,Nominee,1995,76,96,87,77,80
Babe,Nominee,1995,68,97,67,83,78
The Postman (Il Postino),Nominee,1995,77,94,94,81,82
Sense and Sensibility,Nominee,1995,77,97,90,84,83
The English Patient,Winner,1996,74,85,83,87,74
Fargo,Nominee,1996,81,94,93,85,87
Jerry Maguire,Nominee,1996,73,84,79,77,85
Secrets & Lies,Nominee,1996,80,95,91,91,83
Shine,Nominee,1996,77,91,90,87,83
Titanic,Winner,1997,78,89,69,75,85
As Good as It Gets,Nominee,1997,77,85,86,67,87
The Full Monty,Nominee,1997,72,96,79,75,78
Good Will Hunting,Nominee,1997,83,97,94,70,88
L.A. Confidential,Nominee,1997,82,99,94,90,89
Shakespeare in Love,Winner,1998,71,92,80,87,72
Elizabeth,Nominee,1998,74,82,86,75,75
Life Is Beautiful,Nominee,1998,86,80,96,59,77
Saving Private Ryan,Nominee,1998,86,93,95,91,89
The Thin Red Line,Nominee,1998,76,80,80,78,82
American Beauty,Winner,1999,83,87,93,86,89
The Cider House Rules,Nominee,1999,74,71,77,75,88
The Green Mile,Nominee,1999,86,78,94,61,84
The Insider,Nominee,1999,78,96,90,84,87
The Sixth Sense,Nominee,1999,81,86,90,64,89
Gladiator,Winner,2000,85,77,87,67,89
Chocolat,Nominee,2000,72,62,83,64,73
"Crouching Tiger, Hidden Dragon",Nominee,2000,78,97,86,93,81
Erin Brockovich,Nominee,2000,74,84,81,73,83
Traffic,Nominee,2000,76,93,85,86,88
A Beautiful Mind,Winner,2001,82,74,93,72,81
Gosford Park,Nominee,2001,72,86,78,90,74
In the Bedroom,Nominee,2001,74,93,81,86,74
The Lord of the Rings: The Fellowship of the Ring,Nominee,2001,88,91,95,92,91
