,Film,Award,Year of Release,IMDB Rating,Tomatometer Rating,Audience Rating
106,Beauty and the Beast,Nominee,1991,8.0,94.0,92.0
107,Bugsy,Nominee,1991,6.8,85.0,69.0
108,JFK,Nominee,1991,8.0,84.0,88.0
109,The Prince of Tides,Nominee,1991,6.7,69.0,70.0
110,Unforgiven,Winner,1992,8.2,96.0,93.0
111,The Crying Game,Nominee,1992,7.3,94.0,78.0
112,A Few Good Men,Nominee,1992,7.7,83.0,89.0
113,Howards End,Nominee,1992,7.4,94.0,82.0
114,Scent of a Woman,Nominee,1992,8.0,89.0,92.0
115,Schindler's List,Winner,1993,8.9,97.0,97.0
116,The Fugitive,Nominee,1993,7.8,96.0,89.0
117,In the Name of the Father,Nominee,1993,8.1,94.0,95.0
118,The Piano,Nominee,1993,7.6,92.0,86.0
119,The Remains of the Day,Nominee,1993,7.8,95.0,89.0
120,Forrest Gump,Winner,1994,8.8,71.0,95.0
121,Four Weddings and a Funeral,Nominee,1994,7.1,96.0,74.0
122,Pulp Fiction,Nominee,1994,8.9,92.0,96.0
123,Quiz Show,Nominee,1994,7.5,96.0,87.0
124,The Shawshank Redemption,Nominee,1994,9.3,91.0,98.0
125,Braveheart,Winner,1995,8.3,78.0,85.0
126,Apollo 13,Nominee,1995,7.6,96.0,87.0
127,Babe,Nominee,1995,6.8,97.0,67.0
128,The Postman (Il Postino),Nominee,1994,7.7,94.0,94.0
129,Sense and Sensibility,Nominee,1995,7.7,97.0,90.0
130,The English Patient,Winner,1996,7.4,85.0,83.0
131,Fargo,Nominee,1996,8.1,94.0,93.0
132,Jerry Maguire,Nominee,1996,7.3,84.0,79.0
133,Secrets & Lies,Nominee,1996,8.0,95.0,91.0
134,Shine,Nominee,1996,7.7,91.0,90.0
135,Titanic,Winner,1997,7.8,89.0,69.0
136,As Good as It Gets,Nominee,1997,7.7,85.0,86.0
137,The Full Monty,Nominee,1997,7.2,96.0,79.0
138,Good Will Hunting,Nominee,1997,8.3,97.0,94.0
139,L.A. Confidential,Nominee,1997,8.2,99.0,94.0
140,Shakespeare in Love,Winner,1998,7.1,92.0,80.0
141,Elizabeth,Nominee,1998,7.4,82.0,86.0
142,Life Is Beautiful,Nominee,1997,8.6,80.0,96.0
143,Saving Private Ryan,Nominee,1998,8.6,93.0,95.0
144,The Thin Red Line,Nominee,1998,7.6,80.0,80.0
145,American Beauty,Winner,1999,8.3,87.0,93.0
146,The Cider House Rules,Nominee,1999,7.4,71.0,77.0
147,The Green Mile,Nominee,1999,8.6,78.0,94.0
148,The Insider,Nominee,1999,7.8,96.0,90.0
149,The Sixth Sense,Nominee,1999,8.1,86.0,90.0
150,Gladiator,Winner,2000,8.5,77.0,87.0
151,Chocolat,Nominee,2000,7.2,62.0,83.0
152,"Crouching Tiger, Hidden Dragon",Nominee,2000,7.8,97.0,86.0
153,Erin Brockovich,Nominee,2000,7.4,84.0,81.0
154,Traffic,Nominee,2000,7.6,93.0,85.0
155,A Beautiful Mind,Winner,2001,8.2,74.0,93.0
156,Gosford Park,Nominee,2001,7.2,86.0,78.0
157,In the Bedroom,Nominee,2001,7.4,93.0,81.0
158,The Lord of the Rings: The Fellowship of the Ring,Nominee,2001,8.8,91.0,95.0
159,Moulin Rouge!,Nominee,2001,7.6,76.0,89.0
160,Chicago,Winner,2002,7.2,86.0,83.0
161,Gangs of New York,Nominee,2002,7.5,73.0,81.0
162,The Hours,Nominee,2002,7.5,80.0,84.0
163,The Lord of the Rings: The Two Towers,Nominee,2002,8.7,95.0,95.0
164,The Pianist,Nominee,2002,8.5,95.0,96.0
165,The Lord of the Rings: The Return of the King,Winner,2003,8.9,93.0,86.0
166,Lost in Translation,Nominee,2003,7.7,95.0,85.0
